U,BAN001000,BAN001000@octank.com,MAC000131
U,BAN001001,BAN001001@octank.com,MAC000132
U,BAN001002,BAN001002@octank.com,MAC000221
U,BAN001003,BAN001003@octank.com,MAC000228
U,BAN001004,BAN001004@octank.com,MAC000234
U,BAN001005,BAN001005@octank.com,MAC000235
U,BAN001006,BAN001006@octank.com,MAC003451
U,BAN001007,BAN001007@octank.com,MAC003506
U,BAN001008,BAN001008@octank.com,MAC004356
U,BAN001009,BAN001009@octank.com,MAC004538
U,BAN001010,BAN001010@octank.com,MAC004548
U,BAN001011,BAN001011@octank.com,MAC004549
U,BAN001012,BAN001012@octank.com,MAC004552
U,BAN001013,BAN001013@octank.com,MAC004553
U,BAN001014,BAN001014@octank.com,MAC004555
U,BAN001015,BAN001015@octank.com,MAC004556
U,BAN001016,BAN001016@octank.com,MAC004560
U,BAN001017,BAN001017@octank.com,MAC004562
U,BAN001018,BAN001018@octank.com,MAC004564
U,BAN001019,BAN001019@octank.com,MAC004565
U,BAN001020,BAN001020@octank.com,MAC004571
U,BAN001021,BAN001021@octank.com,MAC004574
U,BAN001022,BAN001022@octank.com,MAC004579
U,BAN001023,BAN001023@octank.com,MAC004581
U,BAN001024,BAN001024@octank.com,MAC004582
U,BAN001025,BAN001025@octank.com,MAC004584
U,BAN001026,BAN001026@octank.com,MAC004586
U,BAN001027,BAN001027@octank.com,MAC004595
U,BAN001028,BAN001028@octank.com,MAC004601
U,BAN001029,BAN001029@octank.com,MAC004613
U,BAN001030,BAN001030@octank.com,MAC004629
U,BAN001031,BAN001031@octank.com,MAC004634
U,BAN001032,BAN001032@octank.com,MAC004638
U,BAN001033,BAN001033@octank.com,MAC004656
U,BAN001034,BAN001034@octank.com,MAC004665
U,BAN001035,BAN001035@octank.com,MAC004671
U,BAN001036,BAN001036@octank.com,MAC004679
U,BAN001037,BAN001037@octank.com,MAC004682
U,BAN001038,BAN001038@octank.com,MAC004690
U,BAN001039,BAN001039@octank.com,MAC004694
U,BAN001040,BAN001040@octank.com,MAC004695
