EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,1987-06-17 00:00:00,AD_PRES,24000.00,,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-09-21 00:00:00,AD_VP,17000.00,,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,1993-01-13 00:00:00,AD_VP,17000.00,,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,1990-01-03 00:00:00,IT_PROG,9000.00,,102,60
104,Bruce,Ernst,BERNST,590.423.4568,1991-05-21 00:00:00,IT_PROG,6000.00,,103,60
105,David,Austin,DAUSTIN,590.423.4569,1997-06-25 00:00:00,IT_PROG,4800.00,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,1998-02-05 00:00:00,IT_PROG,4800.00,,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,1999-02-07 00:00:00,IT_PROG,4200.00,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,1994-08-17 00:00:00,FI_MGR,12000.00,,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,1994-08-16 00:00:00,FI_ACCOUNT,9000.00,,108,100
110,John,Chen,JCHEN,515.124.4269,1997-09-28 00:00:00,FI_ACCOUNT,8200.00,,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,1997-09-30 00:00:00,FI_ACCOUNT,7700.00,,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,1998-03-07 00:00:00,FI_ACCOUNT,7800.00,,108,100
113,Luis,Popp,LPOPP,515.124.4567,1999-12-07 00:00:00,FI_ACCOUNT,6900.00,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,1994-12-07 00:00:00,PU_MAN,11000.00,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,1995-05-18 00:00:00,PU_CLERK,3100.00,,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,1997-12-24 00:00:00,PU_CLERK,2900.00,,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,1997-07-24 00:00:00,PU_CLERK,2800.00,,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,1998-11-15 00:00:00,PU_CLERK,2600.00,,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,1999-08-10 00:00:00,PU_CLERK,2500.00,,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,1996-07-18 00:00:00,ST_MAN,8000.00,,100,50
