Op,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
U,321,William115,Gietzupd2,WGIETZ115,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2311,William2311,Gietzupd2,WGIETZ2311,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2312,William2312,Gietzupd2,WGIETZ2312,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2313,William2313,Gietzupd2,WGIETZ2313,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2314,William2314,Gietzupd2,WGIETZ2314,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2315,William2315,Gietzupd2,WGIETZ2315,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2316,William2316,Gietzupd2,WGIETZ2316,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2317,William2317,Gietzupd2,WGIETZ2317,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2318,William2318,Gietzupd2,WGIETZ2318,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2319,William2319,Gietzupd2,WGIETZ2319,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2320,William2320,Gietzupd2,WGIETZ2320,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2321,William2321,Gietzupd2,WGIETZ2321,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2322,William2322,Gietzupd2,WGIETZ2322,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2323,William2323,Gietzupd2,WGIETZ2323,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2324,William2324,Gietzupd2,WGIETZ2324,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2325,William2325,Gietzupd2,WGIETZ2325,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
U,2326,William2326,Gietzupd2,WGIETZ2326,515.123.8181,1994-06-07 00:00:00,AC_ACCOUNT,8300.00,,205,110
